"","Antoni","Pere","Marta","Claudia","Marc","Maria"
"270",984181.4,988497.4,973134.7,992407.9,991965.9,994012.6
"271",984143.7,988469.9,973104.8,992398.6,991946.7,994005.1
"272",984106,988442.4,973074.9,992389.2,991927.4,993997.5
"273",984068.3,988414.9,973045,992379.8,991908.2,993990
"274",984030.6,988387.4,973015.2,992370.5,991888.9,993982.5
"275",983992.9,988359.9,972985.3,992361.1,991869.7,993975
"276",983955.2,988332.4,972955.4,992351.7,991850.4,993967.4
"277",983917.5,988304.9,972925.5,992342.3,991831.2,993959.9
"278",983879.6,988277.2,972896.2,992333.2,991811.8,993952.5
"279",983841.7,988249.6,972866.9,992324,991792.5,993945.2
"280",983803.9,988222,972837.6,992314.8,991773.1,993937.8
"281",983766,988194.3,972808.3,992305.6,991753.8,993930.4
"282",983728.1,988166.7,972779.1,992296.4,991734.4,993923.1
"283",983690.2,988139.1,972749.8,992287.3,991715.1,993915.7
"284",983652.3,988111.4,972720.5,992278.1,991695.7,993908.3
"285",983614.4,988083.8,972691.2,992268.9,991676.4,993901
"286",983576.5,988056.1,972661.9,992259.7,991657,993893.6
"287",983538.6,988028.5,972632.6,992250.5,991637.6,993886.2
"288",983500.7,988000.9,972603.3,992241.4,991618.3,993878.8
"289",983462.8,987973.2,972574,992232.2,991598.9,993871.5
"290",983425.4,987945.9,972545.1,992223.1,991579.8,993864.2
"291",983387.9,987918.6,972516.1,992214.1,991560.7,993856.9
"292",983350.4,987891.2,972487.1,992205,991541.5,993849.7
"293",983313,987863.9,972458.2,992195.9,991522.4,993842.4
"294",983275.5,987836.6,972429.2,992186.9,991503.3,993835.1
"295",983238,987809.2,972400.3,992177.8,991484.1,993827.8
"296",983200.6,987781.9,972371.3,992168.8,991465,993820.6
"297",983163.1,987754.6,972342.3,992159.7,991445.8,993813.3
"298",983125.6,987727.3,972313.4,992150.6,991426.7,993806
"299",983088.2,987699.9,972284.4,992141.6,991407.6,993798.7
"300",983050.7,987672.6,972255.4,992132.5,991388.4,993791.5
"301",983013.2,987645.3,972226.5,992123.4,991369.3,993784.2
"302",982976.5,987618.4,972197.8,992114.5,991350.5,993777
"303",982939.7,987591.6,972169.2,992105.6,991331.7,993769.9
"304",982903,987564.8,972140.6,992096.6,991312.9,993762.7
"305",982866.2,987538,972111.9,992087.7,991294.2,993755.5
"306",982829.4,987511.2,972083.3,992078.8,991275.4,993748.4
"307",982792.7,987484.4,972054.7,992069.8,991256.6,993741.2
"308",982755.9,987457.5,972026.1,992060.9,991237.8,993734
"309",982719.2,987430.7,971997.4,992051.9,991219,993726.8
"310",982682.4,987403.9,971968.8,992043,991200.3,993719.7
"311",982645.7,987377.1,971940.2,992034.1,991181.5,993712.5
"312",982608.9,987350.3,971911.5,992025.1,991162.7,993705.3
"313",982572.1,987323.5,971882.9,992016.2,991143.9,993698.2
"314",982536.1,987297.2,971854.4,992007.3,991125.5,993691
"315",982500.1,987270.8,971825.9,991998.4,991107.1,993683.9
"316",982464,987244.5,971797.4,991989.5,991088.7,993676.8
"317",982428,987218.2,971769,991980.7,991070.2,993669.7
"318",982391.9,987191.9,971740.5,991971.8,991051.8,993662.6
"319",982355.9,987165.6,971712,991962.9,991033.4,993655.4
"320",982319.8,987139.3,971683.5,991954,991015,993648.3
"321",982283.8,987113,971655,991945.2,990996.6,993641.2
"322",982247.7,987086.7,971626.5,991936.3,990978.1,993634.1
"323",982211.7,987060.4,971598,991927.4,990959.7,993627
"324",982175.6,987034.1,971569.6,991918.5,990941.3,993619.8
"325",982139.6,987007.8,971541.1,991909.6,990922.9,993612.7
"326",982104.1,986982,971512.6,991900.8,990904.8,993605.6
"327",982068.7,986956.1,971484.1,991891.9,990886.6,993598.5
"328",982033.2,986930.2,971455.6,991883,990868.5,993591.4
"329",981997.8,986904.3,971427.1,991874.1,990850.4,993584.3
"330",981962.3,986878.5,971398.6,991865.3,990832.3,993577.1
"331",981926.9,986852.6,971370.2,991856.4,990814.1,993570
"332",981891.4,986826.7,971341.7,991847.5,990796,993562.9
"333",981856,986800.9,971313.2,991838.6,990777.9,993555.8
"334",981820.5,986775,971284.7,991829.8,990759.8,993548.7
"335",981785.1,986749.1,971256.2,991820.9,990741.7,993541.6
"336",981749.6,986723.2,971227.7,991812,990723.5,993534.4
"337",981714.1,986697.4,971199.2,991803.1,990705.4,993527.3
"338",981679.3,986671.9,971170.4,991794.2,990687.6,993520.1
"339",981644.4,986646.5,971141.6,991785.2,990669.8,993512.9
"340",981609.6,986621.1,971112.8,991776.2,990652,993505.7
"341",981574.7,986595.6,971084,991767.2,990634.1,993498.5
"342",981539.9,986570.2,971055.2,991758.2,990616.3,993491.3
"343",981505,986544.8,971026.3,991749.2,990598.5,993484.1
"344",981470.2,986519.3,970997.5,991740.2,990580.7,993476.9
"345",981435.3,986493.9,970968.7,991731.3,990562.9,993469.7
"346",981400.5,986468.4,970939.9,991722.3,990545,993462.5
"347",981365.6,986443,970911.1,991713.3,990527.2,993455.3
"348",981330.8,986417.6,970882.3,991704.3,990509.4,993448
"349",981295.9,986392.1,970853.5,991695.3,990491.6,993440.8
"350",981261.4,986366.9,970824.2,991686.2,990473.9,993433.5
"351",981226.8,986341.7,970795,991677,990456.2,993426.2
"352",981192.2,986316.4,970765.7,991667.9,990438.6,993418.8
"353",981157.7,986291.2,970736.5,991658.8,990420.9,993411.5
"354",981123.1,986266,970707.3,991649.6,990403.2,993404.2
"355",981088.5,986240.7,970678,991640.5,990385.5,993396.8
"356",981053.9,986215.5,970648.8,991631.3,990367.8,993389.5
"357",981019.4,986190.3,970619.6,991622.2,990350.2,993382.2
"358",980984.8,986165,970590.3,991613.1,990332.5,993374.8
"359",980950.2,986139.8,970561.1,991603.9,990314.8,993367.5
"360",980915.7,986114.6,970531.8,991594.8,990297.1,993360.2
"361",980881.1,986089.3,970502.6,991585.6,990279.5,993352.9
"362",980846.6,986064.2,970472.7,991576.2,990261.8,993345.3
"363",980812.1,986039,970442.7,991566.9,990244.2,993337.8
"364",980777.7,986013.8,970412.8,991557.5,990226.6,993330.2
"365",980743.2,985988.7,970382.9,991548.1,990208.9,993322.7
"366",980708.7,985963.5,970353,991538.7,990191.3,993315.2
"367",980674.3,985938.4,970323,991529.3,990173.7,993307.6
"368",980639.8,985913.2,970293.1,991519.9,990156,993300.1
"369",980605.3,985888,970263.2,991510.5,990138.4,993292.6
"370",980570.8,985862.9,970233.2,991501.1,990120.8,993285
"371",980536.4,985837.7,970203.3,991491.8,990103.1,993277.5
"372",980501.9,985812.5,970173.4,991482.4,990085.5,993269.9
"373",980467.4,985787.4,970143.4,991473,990067.9,993262.4
"374",980432.9,985762.2,970112.6,991463.2,990050.2,993254.6
"375",980398.4,985737,970081.8,991453.5,990032.6,993246.8
"376",980363.9,985711.7,970050.9,991443.8,990014.9,993239
"377",980329.3,985686.5,970020.1,991434.1,989997.2,993231.1
"378",980294.8,985661.3,969989.2,991424.3,989979.6,993223.3
"379",980260.3,985636.1,969958.4,991414.6,989961.9,993215.5
"380",980225.8,985610.9,969927.5,991404.9,989944.2,993207.7
"381",980191.2,985585.7,969896.7,991395.2,989926.6,993199.9
"382",980156.7,985560.5,969865.8,991385.4,989908.9,993192.1
"383",980122.2,985535.3,969835,991375.7,989891.3,993184.3
"384",980087.6,985510.1,969804.1,991366,989873.6,993176.4
"385",980053.1,985484.9,969773.3,991356.3,989855.9,993168.6
"386",980018.3,985459.5,969741.5,991346.2,989838.1,993160.5
"387",979983.5,985434,969709.8,991336.1,989820.3,993152.4
"388",979948.7,985408.6,969678,991326,989802.5,993144.3
"389",979913.9,985383.2,969646.2,991315.9,989784.7,993136.1
"390",979879,985357.8,969614.5,991305.8,989766.9,993128
"391",979844.2,985332.3,969582.7,991295.7,989749,993119.9
"392",979809.4,985306.9,969550.9,991285.6,989731.2,993111.8
"393",979774.6,985281.5,969519.2,991275.6,989713.4,993103.7
"394",979739.8,985256.1,969487.4,991265.5,989695.6,993095.6
"395",979705,985230.7,969455.6,991255.4,989677.8,993087.4
"396",979670.1,985205.2,969423.9,991245.3,989660,993079.3
"397",979635.3,985179.8,969392.1,991235.2,989642.2,993071.2
"398",979600.1,985154.1,969359.1,991224.6,989624.1,993062.7
"399",979564.9,985128.4,969326.1,991214,989606.1,993054.1
"400",979529.7,985102.7,969293.1,991203.4,989588.1,993045.6
"401",979494.5,985076.9,969260.1,991192.8,989570.1,993037.1
"402",979459.2,985051.2,969227.1,991182.3,989552,993028.5
"403",979424,985025.5,969194.2,991171.7,989534,993020
"404",979388.8,984999.8,969161.2,991161.1,989516,993011.4
"405",979353.6,984974.1,969128.2,991150.5,989498,993002.9
"406",979318.4,984948.4,969095.2,991139.9,989479.9,992994.4
"407",979283.2,984922.6,969062.2,991129.3,989461.9,992985.8
"408",979247.9,984896.9,969029.2,991118.7,989443.9,992977.3
"409",979212.7,984871.2,968996.2,991108.1,989425.9,992968.8
"410",979176.9,984845.1,968961.8,991096.9,989407.5,992959.7
"411",979141.1,984818.9,968927.4,991085.7,989389.2,992950.6
"412",979105.3,984792.8,968892.9,991074.5,989370.9,992941.6
"413",979069.5,984766.6,968858.5,991063.3,989352.6,992932.5
"414",979033.7,984740.5,968824.1,991052.1,989334.2,992923.4
"415",978997.9,984714.3,968789.6,991040.8,989315.9,992914.4
"416",978962.1,984688.2,968755.2,991029.6,989297.6,992905.3
"417",978926.3,984662,968720.8,991018.4,989279.3,992896.2
"418",978890.5,984635.9,968686.3,991007.2,989260.9,992887.2
