,Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
163,576.41,815.04,912.77,898.44,1201.8,965.47
164,576.41,815.04,912.77,898.44,1201.8,965.47
165,576.41,815.04,912.77,898.44,1201.8,965.47
166,576.41,815.04,926.47,898.44,1201.8,965.47
167,576.41,815.04,926.47,898.44,1201.8,965.47
168,576.41,815.04,926.47,898.44,1201.8,965.47
169,576.41,827.27,926.47,898.44,1201.8,965.47
170,576.41,827.27,926.47,911.92,1201.8,965.47
171,576.41,827.27,926.47,911.92,1201.8,965.47
172,576.41,827.27,926.47,911.92,1201.8,979.96
173,576.41,827.27,926.47,911.92,1201.8,979.96
174,585.06,827.27,926.47,911.92,1219.83,979.96
175,585.06,827.27,926.47,911.92,1219.83,979.96
176,585.06,827.27,926.47,911.92,1219.83,979.96
177,585.06,827.27,926.47,911.92,1219.83,979.96
178,585.06,827.27,940.36,911.92,1219.83,979.96
179,585.06,827.27,940.36,911.92,1219.83,979.96
180,585.06,827.27,940.36,911.92,1219.83,979.96
181,585.06,839.68,940.36,911.92,1219.83,979.96
182,585.06,839.68,940.36,925.6,1219.83,979.96
183,585.06,839.68,940.36,925.6,1219.83,979.96
184,585.06,839.68,940.36,925.6,1219.83,994.66
185,585.06,839.68,940.36,925.6,1219.83,994.66
186,593.83,839.68,940.36,925.6,1238.12,994.66
187,593.83,839.68,940.36,925.6,1238.12,994.66
188,593.83,839.68,940.36,925.6,1238.12,994.66
189,593.83,839.68,940.36,925.6,1238.12,994.66
190,593.83,839.68,954.47,925.6,1238.12,994.66
191,593.83,839.68,954.47,925.6,1238.12,994.66
192,593.83,839.68,954.47,925.6,1238.12,994.66
193,593.83,852.27,954.47,925.6,1238.12,994.66
194,593.83,852.27,954.47,939.48,1238.12,994.66
195,593.83,852.27,954.47,939.48,1238.12,994.66
196,593.83,852.27,954.47,939.48,1238.12,1009.58
197,593.83,852.27,954.47,939.48,1238.12,1009.58
