,index,Joan,Pere,Marta,Claudia,Marc,Maria
204,985,0.8710297673948068,0.891917903564368,0.9030943020634801,0.9600492648598427,0.9115873730934742,0.9662295925439731
205,986,0.8695916036983505,0.8906757072952379,0.9019958870651539,0.9595484877653272,0.9105388466145989,0.9657995979135271
206,987,0.8681535476247106,0.889433511026108,0.9008975794597683,0.9590478135631674,0.9094903201357238,0.9653696032830813
207,988,0.8667153839282544,0.8881912087856191,0.8997991644614421,0.9585470364686521,0.9084418982271568,0.9649396086526353
208,989,0.865277220231798,0.8869490125164892,0.8987008568560565,0.9580463622664922,0.9073933717482816,0.9645096140221895
209,990,0.8638391641581582,0.8857068162473593,0.8976024418577303,0.9575455851719769,0.9063448452694065,0.9640796193917437
210,991,0.8624010004617019,0.8844646199782292,0.8965041342523448,0.9570448080774615,0.9052964233608395,0.9636496247612977
211,992,0.8609628367652455,0.8832223177377405,0.8954057192540186,0.9565441338753016,0.9042478968819643,0.9632195276779973
212,993,0.8595246730687893,0.8819801214686105,0.894307411648633,0.9560433567807863,0.9031993704030893,0.9627895330475513
213,994,0.8580866169951494,0.8807379251994806,0.8932089966503068,0.9555426825786265,0.9021509484945222,0.9623595384171055
214,995,0.8566484532986932,0.8794957289303506,0.8921106890449212,0.955041905484111,0.9011024220156469,0.9619295437866595
215,996,0.8552102896022368,0.8782534266898617,0.891012274046595,0.9545412312819512,0.900053895536772,0.9614995491562137
216,997,0.8535899204775009,0.8768411463896829,0.8897549174959102,0.9539426035572974,0.8988503958613582,0.9609816499765844
217,998,0.8519694437299485,0.8754287601181454,0.8884975609452255,0.9533439758326435,0.8976468961859443,0.9604637507969552
218,999,0.8503489669823961,0.8740164798179666,0.8872402043945405,0.9527454510003452,0.8964433965105306,0.9599458516173259
219,1000,0.8487285978576602,0.8726040935464291,0.8859828478438557,0.9521468232756913,0.8952400014054249,0.9594279524376966
220,1001,0.8471081211101079,0.8711918132462503,0.884725491293171,0.9515481955510374,0.8940365017300111,0.9589100532580674
221,1002,0.8454877519853718,0.8697794269747128,0.8834680273495454,0.9509496707187391,0.8928330020545974,0.9583921540784381
222,1003,0.8438672752378196,0.868367146674534,0.8822106707988606,0.9503510429940852,0.8916295023791837,0.957874254898809
223,1004,0.8422467984902672,0.8669547604029965,0.8809533142481758,0.9497524152694313,0.8904260027037699,0.9573564581720342
224,1005,0.8406264293655311,0.8655424801028176,0.879695957697491,0.9491538904371329,0.8892225030283561,0.9568385589924049
225,1006,0.8390059526179788,0.8641300938312801,0.8784386011468063,0.9485552627124791,0.8880190033529423,0.9563206598127756
